round,date,home,away
1,2026-08-15,Notts County,Leicester City
1,2026-08-15,Oxford United,MK Dons
1,2026-08-15,Reading,Luton Town
1,2026-08-15,Barnsley,Bromley
1,2026-08-15,Blackpool,Wycombe Wanderers
1,2026-08-15,Bradford City,Peterborough United
1,2026-08-15,Burton Albion,Stevenage
1,2026-08-15,Cambridge United,Wigan Athletic
1,2026-08-15,Huddersfield Town,AFC Wimbledon
1,2026-08-15,Leyton Orient,Sheffield Wednesday
1,2026-08-15,Mansfield Town,Doncaster Rovers
1,2026-08-15,Plymouth Argyle,Stockport County
2,2026-08-20,Sheffield Wednesday,Bradford City
2,2026-08-22,Doncaster Rovers,Barnsley
2,2026-08-22,Luton Town,Notts County
2,2026-08-22,AFC Wimbledon,Reading
2,2026-08-22,Bromley,Cambridge United
2,2026-08-22,Leicester City,Burton Albion
2,2026-08-22,MK Dons,Huddersfield Town
2,2026-08-22,Peterborough United,Mansfield Town
2,2026-08-22,Stevenage,Oxford United
2,2026-08-22,Stockport County,Blackpool
2,2026-08-22,Wigan Athletic,Leyton Orient
2,2026-08-22,Wycombe Wanderers,Plymouth Argyle
3,2026-08-29,Blackpool,Peterborough United
3,2026-08-29,MK Dons,Leicester City
3,2026-08-29,AFC Wimbledon,Wigan Athletic
3,2026-08-29,Cambridge United,Huddersfield Town
3,2026-08-29,Leyton Orient,Barnsley
3,2026-08-29,Mansfield Town,Luton Town
3,2026-08-29,Notts County,Burton Albion
3,2026-08-29,Plymouth Argyle,Bradford City
3,2026-08-29,Sheffield Wednesday,Bromley
3,2026-08-29,Stevenage,Doncaster Rovers
3,2026-08-29,Stockport County,Wycombe Wanderers
3,2026-09-08,Oxford United,Reading
4,2026-09-01,Bradford City,Cambridge United
4,2026-09-01,Bromley,Leyton Orient
4,2026-09-01,Burton Albion,AFC Wimbledon
4,2026-09-01,Doncaster Rovers,Notts County
4,2026-09-01,Huddersfield Town,Oxford United
4,2026-09-01,Leicester City,Plymouth Argyle
4,2026-09-01,Luton Town,Stockport County
